'*',    26,     1,    12,     7,     5,     5, 10890,     0
'SPENVIS 4.6.10.3403          -  4-Jul-2022 10:21:20'
'PRJ_DEF', -1,'GRID-02'
'PRJ_HDR', -1,'GRID-02 high ionization area process'
'MOD_ABB', -1,'GRD'
'GRD_TYP', 1, 2
'GRD_LBL', -1,'Grid type: world map at    521.0 km'
'GRD_VAR', -1,' '
'GRD_ALT', 1,    521.0,'km'
'GRD_NLO', 1, 121
'GRD_NLA', 1,  90
'MIS_PLA', 1,   3,' '
'PLA_RAD', 1,   6371.20,'KM'
'PLA_DIS', 1,     1.000,'AU'
'PS Annotation',  6,  0
'Grid type: world map at    521.0 km'
 0.05, 2.00, 0.00
'Planet: Earth'
 0.10, 1.50, 0.00
'Universal time:  0.0 hr'
 0.10, 1.50, 0.00
'Altitude','km', 1,'Altitude'
'Latitude','deg', 1,'Latitude'
'Longitude','deg', 1,'Longitude'
'LT','hr', 1,'Local Time'
'UT','hr', 1,'Universal Time'
 5.21000E+02, -89.000,   96.000,  6.400,  0.000
 5.21000E+02, -89.000,   99.000,  6.600,  0.000
 5.21000E+02, -89.000,  102.000,  6.800,  0.000
 5.21000E+02, -89.000,  105.000,  7.000,  0.000
 5.21000E+02, -89.000,  108.000,  7.200,  0.000
 5.21000E+02, -89.000,  111.000,  7.400,  0.000
 5.21000E+02, -89.000,  114.000,  7.600,  0.000
 5.21000E+02, -89.000,  117.000,  7.800,  0.000
 5.21000E+02, -89.000,  120.000,  8.000,  0.000
 5.21000E+02, -89.000,  123.000,  8.200,  0.000
 5.21000E+02, -89.000,  126.000,  8.400,  0.000
 5.21000E+02, -89.000,  129.000,  8.600,  0.000
 5.21000E+02, -89.000,  132.000,  8.800,  0.000
 5.21000E+02, -89.000,  135.000,  9.000,  0.000
 5.21000E+02, -89.000,  138.000,  9.200,  0.000
 5.21000E+02, -89.000,  141.000,  9.400,  0.000
 5.21000E+02, -89.000,  144.000,  9.600,  0.000
 5.21000E+02, -89.000,  147.000,  9.800,  0.000
 5.21000E+02, -89.000,  150.000, 10.000,  0.000
 5.21000E+02, -89.000,  153.000, 10.200,  0.000
 5.21000E+02, -89.000,  156.000, 10.400,  0.000
 5.21000E+02, -89.000,  159.000, 10.600,  0.000
 5.21000E+02, -89.000,  162.000, 10.800,  0.000
 5.21000E+02, -89.000,  165.000, 11.000,  0.000
 5.21000E+02, -89.000,  168.000, 11.200,  0.000
 5.21000E+02, -89.000,  171.000, 11.400,  0.000
